date	Internal
2014-01-08-13-37-44	0
2014-01-08-13-37-45	0
2014-01-08-13-37-46	0
2014-01-08-13-37-47	0
2014-01-08-13-37-48	0
2014-01-08-13-37-49	0
2014-01-08-13-37-51	0
2014-01-08-13-37-52	0
2014-01-08-13-37-53	0
2014-01-08-13-37-54	0
2014-01-08-13-37-55	0
2014-01-08-13-37-56	0
2014-01-08-13-37-57	0
2014-01-08-13-37-58	0
2014-01-08-13-37-59	0
2014-01-08-13-38-01	0
2014-01-08-13-38-02	0
2014-01-08-13-38-03	0
2014-01-08-13-38-04	0
2014-01-08-13-38-05	0
2014-01-08-13-38-06	0
2014-01-08-13-38-07	0
2014-01-08-13-38-08	0
2014-01-08-13-38-10	0
2014-01-08-13-38-11	0
2014-01-08-13-38-12	0
2014-01-08-13-38-13	0
2014-01-08-13-38-14	0
2014-01-08-13-38-15	0
2014-01-08-13-38-16	0
2014-01-08-13-38-17	0
2014-01-08-13-38-18	0
2014-01-08-13-38-20	0
2014-01-08-13-38-21	0
2014-01-08-13-38-22	0
2014-01-08-13-38-23	0
2014-01-08-13-38-24	0
2014-01-08-13-38-25	0
2014-01-08-13-38-26	0
2014-01-08-13-38-27	0
2014-01-08-13-38-29	0
2014-01-08-13-38-30	0
2014-01-08-13-38-31	0
2014-01-08-13-38-32	0
2014-01-08-13-38-33	0
2014-01-08-13-38-34	0
2014-01-08-13-38-35	0
2014-01-08-13-38-36	0
2014-01-08-13-38-37	0
2014-01-08-13-38-38	0
2014-01-08-13-38-40	0
2014-01-08-13-38-41	0
2014-01-08-13-38-42	0
2014-01-08-13-38-43	0
2014-01-08-13-38-44	0
2014-01-08-13-38-45	0
2014-01-08-13-38-46	0
2014-01-08-13-38-47	0
2014-01-08-13-38-49	0
2014-01-08-13-38-50	0
2014-01-08-13-38-51	0
2014-01-08-13-38-52	0
2014-01-08-13-38-53	0
2014-01-08-13-38-54	0
2014-01-08-13-38-55	0
2014-01-08-13-38-56	0
2014-01-08-13-38-57	0
2014-01-08-13-38-59	0
2014-01-08-13-39-00	0
2014-01-08-13-39-01	0
2014-01-08-13-39-02	0
2014-01-08-13-39-03	0
2014-01-08-13-39-04	0
2014-01-08-13-39-05	0
2014-01-08-13-39-06	0
2014-01-08-13-39-07	0
2014-01-08-13-39-09	0
2014-01-08-13-39-10	0
2014-01-08-13-39-11	0
2014-01-08-13-39-12	0
2014-01-08-13-39-13	0
2014-01-08-13-39-14	0
2014-01-08-13-39-15	0
2014-01-08-13-39-16	0
2014-01-08-13-39-17	0
2014-01-08-13-39-19	0
2014-01-08-13-39-20	0
2014-01-08-13-39-21	0
2014-01-08-13-39-22	0
2014-01-08-13-39-23	0
2014-01-08-13-39-24	0
2014-01-08-13-39-25	0
2014-01-08-13-39-26	0
2014-01-08-13-39-27	0
2014-01-08-13-39-29	0
2014-01-08-13-39-30	0
2014-01-08-13-39-31	0
2014-01-08-13-39-32	0
2014-01-08-13-39-33	0
2014-01-08-13-39-34	0
2014-01-08-13-39-35	0
2014-01-08-13-39-36	0
2014-01-08-13-39-38	0
2014-01-08-13-39-39	0
2014-01-08-13-39-40	0
2014-01-08-13-39-41	0
2014-01-08-13-39-42	0
2014-01-08-13-39-43	0
2014-01-08-13-39-44	0
2014-01-08-13-39-45	0
2014-01-08-13-39-46	0
2014-01-08-13-39-48	0
2014-01-08-13-39-49	0
2014-01-08-13-39-50	0
2014-01-08-13-39-51	0
2014-01-08-13-39-52	0
2014-01-08-13-39-53	0
2014-01-08-13-39-54	0
2014-01-08-13-39-55	0
2014-01-08-13-39-56	0
2014-01-08-13-39-58	0
2014-01-08-13-39-59	0
2014-01-08-13-40-00	0
2014-01-08-13-40-01	0
2014-01-08-13-40-02	0
2014-01-08-13-40-03	0
2014-01-08-13-40-04	0
2014-01-08-13-40-05	0
2014-01-08-13-40-06	0
2014-01-08-13-40-08	0
2014-01-08-13-40-09	0
2014-01-08-13-40-10	0
2014-01-08-13-40-11	0
2014-01-08-13-40-12	0
2014-01-08-13-40-13	0
2014-01-08-13-40-14	0
2014-01-08-13-40-15	0
2014-01-08-13-40-16	0
2014-01-08-13-40-18	0
2014-01-08-13-40-19	0
2014-01-08-13-40-20	0
2014-01-08-13-40-21	0
2014-01-08-13-40-22	0
2014-01-08-13-40-23	0
2014-01-08-13-40-24	0
2014-01-08-13-40-25	0
2014-01-08-13-40-27	0
2014-01-08-13-40-28	0
2014-01-08-13-40-29	0
2014-01-08-13-40-30	0
2014-01-08-13-40-31	0
2014-01-08-13-40-32	0
2014-01-08-13-40-33	0
2014-01-08-13-40-34	0
2014-01-08-13-40-35	0
2014-01-08-13-40-37	0
2014-01-08-13-40-38	0
2014-01-08-13-40-39	0
2014-01-08-13-40-40	0
2014-01-08-13-40-41	0
2014-01-08-13-40-42	0
2014-01-08-13-40-43	0
2014-01-08-13-40-44	0
2014-01-08-13-40-46	0
2014-01-08-13-40-47	0
2014-01-08-13-40-48	0
2014-01-08-13-40-49	0
2014-01-08-13-40-50	0
2014-01-08-13-40-51	0
2014-01-08-13-40-52	0
2014-01-08-13-40-53	0
2014-01-08-13-40-54	0
2014-01-08-13-40-56	0
2014-01-08-13-40-57	0
2014-01-08-13-40-58	0
2014-01-08-13-40-59	0
2014-01-08-13-41-00	0
2014-01-08-13-41-01	0
2014-01-08-13-41-02	0
2014-01-08-13-41-03	0
2014-01-08-13-41-04	0
2014-01-08-13-41-06	0
2014-01-08-13-41-07	0
2014-01-08-13-41-08	0
2014-01-08-13-41-09	0
2014-01-08-13-41-10	0
2014-01-08-13-41-11	0
2014-01-08-13-41-12	0
2014-01-08-13-41-13	0
2014-01-08-13-41-15	0
2014-01-08-13-41-16	0
2014-01-08-13-41-17	0
2014-01-08-13-41-18	0
2014-01-08-13-41-19	0
2014-01-08-13-41-20	0
2014-01-08-13-41-21	0
2014-01-08-13-41-22	0
2014-01-08-13-41-23	0
2014-01-08-13-41-25	0
2014-01-08-13-41-26	0
2014-01-08-13-41-27	0
2014-01-08-13-41-28	0
2014-01-08-13-41-29	0
