date	frequency	type
2014-01-08-15-21-03	0	Major Frequency
2014-01-08-15-21-06	0	Major Frequency
2014-01-08-15-21-08	0	Major Frequency
2014-01-08-15-21-10	0	Major Frequency
2014-01-08-15-21-12	0	Major Frequency
2014-01-08-15-21-14	0	Major Frequency
2014-01-08-15-21-16	0	Major Frequency
2014-01-08-15-21-18	43.06640625	Major Frequency
2014-01-08-15-21-20	0	Major Frequency
2014-01-08-15-21-22	0	Major Frequency
2014-01-08-15-21-25	0	Major Frequency
2014-01-08-15-21-27	0	Major Frequency
2014-01-08-15-21-29	0	Major Frequency
2014-01-08-15-21-31	0	Major Frequency
2014-01-08-15-21-33	344.53125	Major Frequency
2014-01-08-15-21-35	516.796875	Major Frequency
2014-01-08-15-21-37	0	Major Frequency
2014-01-08-15-21-39	0	Major Frequency
2014-01-08-15-21-41	559.86328125	Major Frequency
2014-01-08-15-21-43	43.06640625	Major Frequency
2014-01-08-15-21-46	0	Major Frequency
2014-01-08-15-21-48	0	Major Frequency
2014-01-08-15-21-50	0	Major Frequency
2014-01-08-15-21-52	0	Major Frequency
2014-01-08-15-21-54	0	Major Frequency
2014-01-08-15-21-56	0	Major Frequency
2014-01-08-15-21-58	0	Major Frequency
2014-01-08-15-22-00	0	Major Frequency
2014-01-08-15-22-02	0	Major Frequency
2014-01-08-15-22-05	86.1328125	Major Frequency
2014-01-08-15-22-07	0	Major Frequency
2014-01-08-15-22-09	0	Major Frequency
2014-01-08-15-22-11	0	Major Frequency
2014-01-08-15-22-13	43.06640625	Major Frequency
2014-01-08-15-22-15	0	Major Frequency
2014-01-08-15-22-17	43.06640625	Major Frequency
2014-01-08-15-22-19	0	Major Frequency
2014-01-08-15-22-21	43.06640625	Major Frequency
2014-01-08-15-22-23	0	Major Frequency
2014-01-08-15-22-26	0	Major Frequency
2014-01-08-15-22-28	258.3984375	Major Frequency
2014-01-08-15-22-30	43.06640625	Major Frequency
2014-01-08-15-22-32	0	Major Frequency
2014-01-08-15-22-34	0	Major Frequency
